areaCode,areaName,areaType,date,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2023-11-17,26
K02000001,United Kingdom,overview,2023-11-16,29
K02000001,United Kingdom,overview,2023-11-15,28
K02000001,United Kingdom,overview,2023-11-14,40
K02000001,United Kingdom,overview,2023-11-13,33
K02000001,United Kingdom,overview,2023-11-12,26
K02000001,United Kingdom,overview,2023-11-11,34
K02000001,United Kingdom,overview,2023-11-10,40
K02000001,United Kingdom,overview,2023-11-09,51
K02000001,United Kingdom,overview,2023-11-08,40
K02000001,United Kingdom,overview,2023-11-07,40
K02000001,United Kingdom,overview,2023-11-06,48
K02000001,United Kingdom,overview,2023-11-05,58
K02000001,United Kingdom,overview,2023-11-04,42
K02000001,United Kingdom,overview,2023-11-03,55
K02000001,United Kingdom,overview,2023-11-02,42
K02000001,United Kingdom,overview,2023-11-01,57
K02000001,United Kingdom,overview,2023-10-31,47
K02000001,United Kingdom,overview,2023-10-30,48
K02000001,United Kingdom,overview,2023-10-29,69
K02000001,United Kingdom,overview,2023-10-28,51
K02000001,United Kingdom,overview,2023-10-27,51
K02000001,United Kingdom,overview,2023-10-26,44
K02000001,United Kingdom,overview,2023-10-25,63
K02000001,United Kingdom,overview,2023-10-24,47
K02000001,United Kingdom,overview,2023-10-23,44
K02000001,United Kingdom,overview,2023-10-22,45
K02000001,United Kingdom,overview,2023-10-21,51
K02000001,United Kingdom,overview,2023-10-20,63
K02000001,United Kingdom,overview,2023-10-19,64
K02000001,United Kingdom,overview,2023-10-18,59
K02000001,United Kingdom,overview,2023-10-17,59
K02000001,United Kingdom,overview,2023-10-16,45
K02000001,United Kingdom,overview,2023-10-15,53
K02000001,United Kingdom,overview,2023-10-14,50
K02000001,United Kingdom,overview,2023-10-13,35
K02000001,United Kingdom,overview,2023-10-12,49
K02000001,United Kingdom,overview,2023-10-11,64
K02000001,United Kingdom,overview,2023-10-10,53
K02000001,United Kingdom,overview,2023-10-09,51
K02000001,United Kingdom,overview,2023-10-08,56
K02000001,United Kingdom,overview,2023-10-07,62
K02000001,United Kingdom,overview,2023-10-06,57
K02000001,United Kingdom,overview,2023-10-05,54
K02000001,United Kingdom,overview,2023-10-04,50
K02000001,United Kingdom,overview,2023-10-03,40
K02000001,United Kingdom,overview,2023-10-02,47
K02000001,United Kingdom,overview,2023-10-01,52
K02000001,United Kingdom,overview,2023-09-30,48
K02000001,United Kingdom,overview,2023-09-29,41
K02000001,United Kingdom,overview,2023-09-28,50
K02000001,United Kingdom,overview,2023-09-27,52
K02000001,United Kingdom,overview,2023-09-26,33
K02000001,United Kingdom,overview,2023-09-25,41
K02000001,United Kingdom,overview,2023-09-24,41
K02000001,United Kingdom,overview,2023-09-23,39
K02000001,United Kingdom,overview,2023-09-22,42
K02000001,United Kingdom,overview,2023-09-21,34
K02000001,United Kingdom,overview,2023-09-20,43
K02000001,United Kingdom,overview,2023-09-19,44
K02000001,United Kingdom,overview,2023-09-18,45
K02000001,United Kingdom,overview,2023-09-17,36
K02000001,United Kingdom,overview,2023-09-16,27
K02000001,United Kingdom,overview,2023-09-15,43
K02000001,United Kingdom,overview,2023-09-14,44
K02000001,United Kingdom,overview,2023-09-13,49
K02000001,United Kingdom,overview,2023-09-12,39
K02000001,United Kingdom,overview,2023-09-11,38
K02000001,United Kingdom,overview,2023-09-10,48
K02000001,United Kingdom,overview,2023-09-09,44
K02000001,United Kingdom,overview,2023-09-08,52
K02000001,United Kingdom,overview,2023-09-07,40
K02000001,United Kingdom,overview,2023-09-06,46
K02000001,United Kingdom,overview,2023-09-05,46
K02000001,United Kingdom,overview,2023-09-04,33
K02000001,United Kingdom,overview,2023-09-03,39
K02000001,United Kingdom,overview,2023-09-02,35
K02000001,United Kingdom,overview,2023-09-01,26
K02000001,United Kingdom,overview,2023-08-31,24
K02000001,United Kingdom,overview,2023-08-30,36
K02000001,United Kingdom,overview,2023-08-29,38
K02000001,United Kingdom,overview,2023-08-28,24
K02000001,United Kingdom,overview,2023-08-27,31
K02000001,United Kingdom,overview,2023-08-26,24
K02000001,United Kingdom,overview,2023-08-25,31
K02000001,United Kingdom,overview,2023-08-24,29
K02000001,United Kingdom,overview,2023-08-23,26
K02000001,United Kingdom,overview,2023-08-22,33
K02000001,United Kingdom,overview,2023-08-21,30
K02000001,United Kingdom,overview,2023-08-20,33
K02000001,United Kingdom,overview,2023-08-19,46
K02000001,United Kingdom,overview,2023-08-18,28
K02000001,United Kingdom,overview,2023-08-17,35
K02000001,United Kingdom,overview,2023-08-16,33
K02000001,United Kingdom,overview,2023-08-15,24
K02000001,United Kingdom,overview,2023-08-14,27
K02000001,United Kingdom,overview,2023-08-13,22
K02000001,United Kingdom,overview,2023-08-12,37
K02000001,United Kingdom,overview,2023-08-11,24
K02000001,United Kingdom,overview,2023-08-10,34
K02000001,United Kingdom,overview,2023-08-09,14
K02000001,United Kingdom,overview,2023-08-08,14
K02000001,United Kingdom,overview,2023-08-07,13
K02000001,United Kingdom,overview,2023-08-06,20
K02000001,United Kingdom,overview,2023-08-05,22
K02000001,United Kingdom,overview,2023-08-04,13
K02000001,United Kingdom,overview,2023-08-03,12
K02000001,United Kingdom,overview,2023-08-02,20
K02000001,United Kingdom,overview,2023-08-01,18
K02000001,United Kingdom,overview,2023-07-31,17
K02000001,United Kingdom,overview,2023-07-30,10
K02000001,United Kingdom,overview,2023-07-29,13
K02000001,United Kingdom,overview,2023-07-28,16
K02000001,United Kingdom,overview,2023-07-27,13
K02000001,United Kingdom,overview,2023-07-26,16
K02000001,United Kingdom,overview,2023-07-25,11
K02000001,United Kingdom,overview,2023-07-24,9
K02000001,United Kingdom,overview,2023-07-23,11
K02000001,United Kingdom,overview,2023-07-22,8
K02000001,United Kingdom,overview,2023-07-21,12
K02000001,United Kingdom,overview,2023-07-20,3
K02000001,United Kingdom,overview,2023-07-19,14
K02000001,United Kingdom,overview,2023-07-18,11
K02000001,United Kingdom,overview,2023-07-17,8
K02000001,United Kingdom,overview,2023-07-16,8
K02000001,United Kingdom,overview,2023-07-15,10
K02000001,United Kingdom,overview,2023-07-14,5
K02000001,United Kingdom,overview,2023-07-13,15
K02000001,United Kingdom,overview,2023-07-12,8
K02000001,United Kingdom,overview,2023-07-11,9
K02000001,United Kingdom,overview,2023-07-10,11
K02000001,United Kingdom,overview,2023-07-09,8
K02000001,United Kingdom,overview,2023-07-08,9
K02000001,United Kingdom,overview,2023-07-07,7
K02000001,United Kingdom,overview,2023-07-06,13
K02000001,United Kingdom,overview,2023-07-05,12
K02000001,United Kingdom,overview,2023-07-04,10
K02000001,United Kingdom,overview,2023-07-03,7
K02000001,United Kingdom,overview,2023-07-02,14
K02000001,United Kingdom,overview,2023-07-01,13
K02000001,United Kingdom,overview,2023-06-30,19
K02000001,United Kingdom,overview,2023-06-29,14
K02000001,United Kingdom,overview,2023-06-28,8
K02000001,United Kingdom,overview,2023-06-27,18
K02000001,United Kingdom,overview,2023-06-26,10
K02000001,United Kingdom,overview,2023-06-25,21
K02000001,United Kingdom,overview,2023-06-24,13
K02000001,United Kingdom,overview,2023-06-23,15
K02000001,United Kingdom,overview,2023-06-22,9
K02000001,United Kingdom,overview,2023-06-21,17
K02000001,United Kingdom,overview,2023-06-20,20
K02000001,United Kingdom,overview,2023-06-19,21
K02000001,United Kingdom,overview,2023-06-18,19
K02000001,United Kingdom,overview,2023-06-17,15
K02000001,United Kingdom,overview,2023-06-16,24
K02000001,United Kingdom,overview,2023-06-15,24
K02000001,United Kingdom,overview,2023-06-14,30
K02000001,United Kingdom,overview,2023-06-13,27
K02000001,United Kingdom,overview,2023-06-12,31
K02000001,United Kingdom,overview,2023-06-11,32
K02000001,United Kingdom,overview,2023-06-10,23
K02000001,United Kingdom,overview,2023-06-09,19
K02000001,United Kingdom,overview,2023-06-08,24
K02000001,United Kingdom,overview,2023-06-07,24
K02000001,United Kingdom,overview,2023-06-06,24
K02000001,United Kingdom,overview,2023-06-05,22
K02000001,United Kingdom,overview,2023-06-04,27
K02000001,United Kingdom,overview,2023-06-03,32
K02000001,United Kingdom,overview,2023-06-02,25
K02000001,United Kingdom,overview,2023-06-01,33
K02000001,United Kingdom,overview,2023-05-31,22
K02000001,United Kingdom,overview,2023-05-30,34
K02000001,United Kingdom,overview,2023-05-29,24
K02000001,United Kingdom,overview,2023-05-28,25
K02000001,United Kingdom,overview,2023-05-27,37
K02000001,United Kingdom,overview,2023-05-26,44
K02000001,United Kingdom,overview,2023-05-25,25
K02000001,United Kingdom,overview,2023-05-24,34
K02000001,United Kingdom,overview,2023-05-23,31
K02000001,United Kingdom,overview,2023-05-22,39
K02000001,United Kingdom,overview,2023-05-21,34
K02000001,United Kingdom,overview,2023-05-20,30
K02000001,United Kingdom,overview,2023-05-19,47
K02000001,United Kingdom,overview,2023-05-18,37
K02000001,United Kingdom,overview,2023-05-17,50
K02000001,United Kingdom,overview,2023-05-16,50
K02000001,United Kingdom,overview,2023-05-15,33
K02000001,United Kingdom,overview,2023-05-14,30
K02000001,United Kingdom,overview,2023-05-13,32
K02000001,United Kingdom,overview,2023-05-12,49
K02000001,United Kingdom,overview,2023-05-11,55
K02000001,United Kingdom,overview,2023-05-10,42
K02000001,United Kingdom,overview,2023-05-09,36
K02000001,United Kingdom,overview,2023-05-08,39
K02000001,United Kingdom,overview,2023-05-07,54
K02000001,United Kingdom,overview,2023-05-06,47
K02000001,United Kingdom,overview,2023-05-05,46
K02000001,United Kingdom,overview,2023-05-04,54
K02000001,United Kingdom,overview,2023-05-03,50
K02000001,United Kingdom,overview,2023-05-02,60
K02000001,United Kingdom,overview,2023-05-01,51
K02000001,United Kingdom,overview,2023-04-30,42
K02000001,United Kingdom,overview,2023-04-29,53
K02000001,United Kingdom,overview,2023-04-28,54
K02000001,United Kingdom,overview,2023-04-27,52
K02000001,United Kingdom,overview,2023-04-26,62
K02000001,United Kingdom,overview,2023-04-25,61
K02000001,United Kingdom,overview,2023-04-24,49
K02000001,United Kingdom,overview,2023-04-23,73
K02000001,United Kingdom,overview,2023-04-22,55
K02000001,United Kingdom,overview,2023-04-21,86
K02000001,United Kingdom,overview,2023-04-20,73
K02000001,United Kingdom,overview,2023-04-19,81
K02000001,United Kingdom,overview,2023-04-18,67
K02000001,United Kingdom,overview,2023-04-17,65
K02000001,United Kingdom,overview,2023-04-16,79
K02000001,United Kingdom,overview,2023-04-15,70
K02000001,United Kingdom,overview,2023-04-14,80
K02000001,United Kingdom,overview,2023-04-13,91
K02000001,United Kingdom,overview,2023-04-12,76
K02000001,United Kingdom,overview,2023-04-11,75
K02000001,United Kingdom,overview,2023-04-10,74
K02000001,United Kingdom,overview,2023-04-09,71
K02000001,United Kingdom,overview,2023-04-08,84
K02000001,United Kingdom,overview,2023-04-07,94
K02000001,United Kingdom,overview,2023-04-06,105
K02000001,United Kingdom,overview,2023-04-05,67
K02000001,United Kingdom,overview,2023-04-04,99
K02000001,United Kingdom,overview,2023-04-03,87
K02000001,United Kingdom,overview,2023-04-02,78
K02000001,United Kingdom,overview,2023-04-01,76
K02000001,United Kingdom,overview,2023-03-31,75
K02000001,United Kingdom,overview,2023-03-30,108
K02000001,United Kingdom,overview,2023-03-29,96
K02000001,United Kingdom,overview,2023-03-28,113
K02000001,United Kingdom,overview,2023-03-27,98
K02000001,United Kingdom,overview,2023-03-26,87
K02000001,United Kingdom,overview,2023-03-25,115
K02000001,United Kingdom,overview,2023-03-24,114
K02000001,United Kingdom,overview,2023-03-23,109
K02000001,United Kingdom,overview,2023-03-22,103
K02000001,United Kingdom,overview,2023-03-21,128
K02000001,United Kingdom,overview,2023-03-20,98
K02000001,United Kingdom,overview,2023-03-19,92
K02000001,United Kingdom,overview,2023-03-18,99
K02000001,United Kingdom,overview,2023-03-17,111
K02000001,United Kingdom,overview,2023-03-16,106
K02000001,United Kingdom,overview,2023-03-15,106
K02000001,United Kingdom,overview,2023-03-14,94
K02000001,United Kingdom,overview,2023-03-13,96
K02000001,United Kingdom,overview,2023-03-12,103
K02000001,United Kingdom,overview,2023-03-11,100
K02000001,United Kingdom,overview,2023-03-10,93
K02000001,United Kingdom,overview,2023-03-09,94
K02000001,United Kingdom,overview,2023-03-08,97
K02000001,United Kingdom,overview,2023-03-07,93
K02000001,United Kingdom,overview,2023-03-06,92
K02000001,United Kingdom,overview,2023-03-05,97
K02000001,United Kingdom,overview,2023-03-04,100
K02000001,United Kingdom,overview,2023-03-03,82
K02000001,United Kingdom,overview,2023-03-02,103
K02000001,United Kingdom,overview,2023-03-01,83
K02000001,United Kingdom,overview,2023-02-28,74
K02000001,United Kingdom,overview,2023-02-27,79
K02000001,United Kingdom,overview,2023-02-26,85
K02000001,United Kingdom,overview,2023-02-25,78
K02000001,United Kingdom,overview,2023-02-24,82
K02000001,United Kingdom,overview,2023-02-23,75
K02000001,United Kingdom,overview,2023-02-22,84
K02000001,United Kingdom,overview,2023-02-21,62
K02000001,United Kingdom,overview,2023-02-20,80
K02000001,United Kingdom,overview,2023-02-19,60
K02000001,United Kingdom,overview,2023-02-18,78
K02000001,United Kingdom,overview,2023-02-17,84
K02000001,United Kingdom,overview,2023-02-16,76
K02000001,United Kingdom,overview,2023-02-15,71
K02000001,United Kingdom,overview,2023-02-14,79
K02000001,United Kingdom,overview,2023-02-13,54
K02000001,United Kingdom,overview,2023-02-12,71
K02000001,United Kingdom,overview,2023-02-11,61
K02000001,United Kingdom,overview,2023-02-10,76
K02000001,United Kingdom,overview,2023-02-09,64
K02000001,United Kingdom,overview,2023-02-08,72
K02000001,United Kingdom,overview,2023-02-07,69
K02000001,United Kingdom,overview,2023-02-06,57
K02000001,United Kingdom,overview,2023-02-05,73
K02000001,United Kingdom,overview,2023-02-04,66
K02000001,United Kingdom,overview,2023-02-03,71
K02000001,United Kingdom,overview,2023-02-02,76
K02000001,United Kingdom,overview,2023-02-01,72
K02000001,United Kingdom,overview,2023-01-31,63
K02000001,United Kingdom,overview,2023-01-30,61
K02000001,United Kingdom,overview,2023-01-29,77
K02000001,United Kingdom,overview,2023-01-28,73
K02000001,United Kingdom,overview,2023-01-27,79
K02000001,United Kingdom,overview,2023-01-26,72
K02000001,United Kingdom,overview,2023-01-25,67
K02000001,United Kingdom,overview,2023-01-24,83
K02000001,United Kingdom,overview,2023-01-23,77
K02000001,United Kingdom,overview,2023-01-22,77
K02000001,United Kingdom,overview,2023-01-21,75
K02000001,United Kingdom,overview,2023-01-20,83
K02000001,United Kingdom,overview,2023-01-19,84
K02000001,United Kingdom,overview,2023-01-18,93
K02000001,United Kingdom,overview,2023-01-17,93
K02000001,United Kingdom,overview,2023-01-16,111
K02000001,United Kingdom,overview,2023-01-15,114
K02000001,United Kingdom,overview,2023-01-14,104
K02000001,United Kingdom,overview,2023-01-13,106
K02000001,United Kingdom,overview,2023-01-12,119
K02000001,United Kingdom,overview,2023-01-11,97
K02000001,United Kingdom,overview,2023-01-10,117
K02000001,United Kingdom,overview,2023-01-09,133
K02000001,United Kingdom,overview,2023-01-08,125
K02000001,United Kingdom,overview,2023-01-07,121
K02000001,United Kingdom,overview,2023-01-06,116
K02000001,United Kingdom,overview,2023-01-05,146
K02000001,United Kingdom,overview,2023-01-04,142
K02000001,United Kingdom,overview,2023-01-03,139
K02000001,United Kingdom,overview,2023-01-02,130
K02000001,United Kingdom,overview,2023-01-01,132
K02000001,United Kingdom,overview,2022-12-31,152
K02000001,United Kingdom,overview,2022-12-30,158
K02000001,United Kingdom,overview,2022-12-29,133
K02000001,United Kingdom,overview,2022-12-28,134
K02000001,United Kingdom,overview,2022-12-27,143
K02000001,United Kingdom,overview,2022-12-26,129
K02000001,United Kingdom,overview,2022-12-25,132
K02000001,United Kingdom,overview,2022-12-24,146
K02000001,United Kingdom,overview,2022-12-23,119
K02000001,United Kingdom,overview,2022-12-22,114
K02000001,United Kingdom,overview,2022-12-21,110
K02000001,United Kingdom,overview,2022-12-20,113
K02000001,United Kingdom,overview,2022-12-19,115
K02000001,United Kingdom,overview,2022-12-18,100
K02000001,United Kingdom,overview,2022-12-17,92
K02000001,United Kingdom,overview,2022-12-16,88
K02000001,United Kingdom,overview,2022-12-15,59
K02000001,United Kingdom,overview,2022-12-14,97
K02000001,United Kingdom,overview,2022-12-13,67
K02000001,United Kingdom,overview,2022-12-12,70
K02000001,United Kingdom,overview,2022-12-11,71
K02000001,United Kingdom,overview,2022-12-10,70
K02000001,United Kingdom,overview,2022-12-09,72
K02000001,United Kingdom,overview,2022-12-08,71
K02000001,United Kingdom,overview,2022-12-07,65
K02000001,United Kingdom,overview,2022-12-06,75
K02000001,United Kingdom,overview,2022-12-05,64
K02000001,United Kingdom,overview,2022-12-04,48
K02000001,United Kingdom,overview,2022-12-03,57
K02000001,United Kingdom,overview,2022-12-02,52
K02000001,United Kingdom,overview,2022-12-01,55
K02000001,United Kingdom,overview,2022-11-30,47
K02000001,United Kingdom,overview,2022-11-29,54
K02000001,United Kingdom,overview,2022-11-28,61
K02000001,United Kingdom,overview,2022-11-27,56
K02000001,United Kingdom,overview,2022-11-26,49
K02000001,United Kingdom,overview,2022-11-25,43
K02000001,United Kingdom,overview,2022-11-24,52
K02000001,United Kingdom,overview,2022-11-23,60
K02000001,United Kingdom,overview,2022-11-22,59
K02000001,United Kingdom,overview,2022-11-21,53
K02000001,United Kingdom,overview,2022-11-20,62
K02000001,United Kingdom,overview,2022-11-19,59
K02000001,United Kingdom,overview,2022-11-18,58
K02000001,United Kingdom,overview,2022-11-17,56
K02000001,United Kingdom,overview,2022-11-16,54
K02000001,United Kingdom,overview,2022-11-15,67
K02000001,United Kingdom,overview,2022-11-14,62
K02000001,United Kingdom,overview,2022-11-13,56
K02000001,United Kingdom,overview,2022-11-12,46
K02000001,United Kingdom,overview,2022-11-11,73
K02000001,United Kingdom,overview,2022-11-10,56
K02000001,United Kingdom,overview,2022-11-09,64
K02000001,United Kingdom,overview,2022-11-08,65
K02000001,United Kingdom,overview,2022-11-07,77
K02000001,United Kingdom,overview,2022-11-06,58
K02000001,United Kingdom,overview,2022-11-05,79
K02000001,United Kingdom,overview,2022-11-04,98
K02000001,United Kingdom,overview,2022-11-03,84
K02000001,United Kingdom,overview,2022-11-02,80
K02000001,United Kingdom,overview,2022-11-01,85
K02000001,United Kingdom,overview,2022-10-31,83
K02000001,United Kingdom,overview,2022-10-30,98
K02000001,United Kingdom,overview,2022-10-29,98
K02000001,United Kingdom,overview,2022-10-28,88
K02000001,United Kingdom,overview,2022-10-27,107
K02000001,United Kingdom,overview,2022-10-26,92
K02000001,United Kingdom,overview,2022-10-25,117
K02000001,United Kingdom,overview,2022-10-24,107
K02000001,United Kingdom,overview,2022-10-23,103
K02000001,United Kingdom,overview,2022-10-22,112
K02000001,United Kingdom,overview,2022-10-21,112
K02000001,United Kingdom,overview,2022-10-20,123
K02000001,United Kingdom,overview,2022-10-19,102
K02000001,United Kingdom,overview,2022-10-18,109
K02000001,United Kingdom,overview,2022-10-17,117
K02000001,United Kingdom,overview,2022-10-16,108
K02000001,United Kingdom,overview,2022-10-15,109
K02000001,United Kingdom,overview,2022-10-14,116
K02000001,United Kingdom,overview,2022-10-13,112
K02000001,United Kingdom,overview,2022-10-12,127
K02000001,United Kingdom,overview,2022-10-11,110
K02000001,United Kingdom,overview,2022-10-10,94
K02000001,United Kingdom,overview,2022-10-09,101
K02000001,United Kingdom,overview,2022-10-08,92
K02000001,United Kingdom,overview,2022-10-07,101
K02000001,United Kingdom,overview,2022-10-06,97
K02000001,United Kingdom,overview,2022-10-05,99
K02000001,United Kingdom,overview,2022-10-04,92
K02000001,United Kingdom,overview,2022-10-03,83
K02000001,United Kingdom,overview,2022-10-02,64
K02000001,United Kingdom,overview,2022-10-01,81
K02000001,United Kingdom,overview,2022-09-30,65
K02000001,United Kingdom,overview,2022-09-29,67
K02000001,United Kingdom,overview,2022-09-28,62
K02000001,United Kingdom,overview,2022-09-27,70
K02000001,United Kingdom,overview,2022-09-26,66
K02000001,United Kingdom,overview,2022-09-25,41
K02000001,United Kingdom,overview,2022-09-24,49
K02000001,United Kingdom,overview,2022-09-23,54
K02000001,United Kingdom,overview,2022-09-22,50
K02000001,United Kingdom,overview,2022-09-21,37
K02000001,United Kingdom,overview,2022-09-20,50
K02000001,United Kingdom,overview,2022-09-19,49
K02000001,United Kingdom,overview,2022-09-18,40
K02000001,United Kingdom,overview,2022-09-17,40
K02000001,United Kingdom,overview,2022-09-16,39
K02000001,United Kingdom,overview,2022-09-15,49
K02000001,United Kingdom,overview,2022-09-14,45
K02000001,United Kingdom,overview,2022-09-13,50
K02000001,United Kingdom,overview,2022-09-12,43
K02000001,United Kingdom,overview,2022-09-11,31
K02000001,United Kingdom,overview,2022-09-10,48
K02000001,United Kingdom,overview,2022-09-09,38
K02000001,United Kingdom,overview,2022-09-08,47
K02000001,United Kingdom,overview,2022-09-07,61
K02000001,United Kingdom,overview,2022-09-06,40
K02000001,United Kingdom,overview,2022-09-05,39
K02000001,United Kingdom,overview,2022-09-04,46
K02000001,United Kingdom,overview,2022-09-03,54
K02000001,United Kingdom,overview,2022-09-02,48
K02000001,United Kingdom,overview,2022-09-01,44
K02000001,United Kingdom,overview,2022-08-31,75
K02000001,United Kingdom,overview,2022-08-30,44
K02000001,United Kingdom,overview,2022-08-29,54
K02000001,United Kingdom,overview,2022-08-28,61
K02000001,United Kingdom,overview,2022-08-27,58
K02000001,United Kingdom,overview,2022-08-26,44
K02000001,United Kingdom,overview,2022-08-25,50
K02000001,United Kingdom,overview,2022-08-24,53
K02000001,United Kingdom,overview,2022-08-23,78
K02000001,United Kingdom,overview,2022-08-22,65
K02000001,United Kingdom,overview,2022-08-21,61
K02000001,United Kingdom,overview,2022-08-20,76
K02000001,United Kingdom,overview,2022-08-19,69
K02000001,United Kingdom,overview,2022-08-18,63
K02000001,United Kingdom,overview,2022-08-17,56
K02000001,United Kingdom,overview,2022-08-16,71
K02000001,United Kingdom,overview,2022-08-15,89
K02000001,United Kingdom,overview,2022-08-14,90
K02000001,United Kingdom,overview,2022-08-13,92
K02000001,United Kingdom,overview,2022-08-12,108
K02000001,United Kingdom,overview,2022-08-11,99
