areaCode,areaName,areaType,date,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2022-08-10,77
K02000001,United Kingdom,overview,2022-08-09,90
K02000001,United Kingdom,overview,2022-08-08,100
K02000001,United Kingdom,overview,2022-08-07,100
K02000001,United Kingdom,overview,2022-08-06,66
K02000001,United Kingdom,overview,2022-08-05,87
K02000001,United Kingdom,overview,2022-08-04,85
K02000001,United Kingdom,overview,2022-08-03,108
K02000001,United Kingdom,overview,2022-08-02,102
K02000001,United Kingdom,overview,2022-08-01,93
K02000001,United Kingdom,overview,2022-07-31,98
K02000001,United Kingdom,overview,2022-07-30,79
K02000001,United Kingdom,overview,2022-07-29,118
K02000001,United Kingdom,overview,2022-07-28,126
K02000001,United Kingdom,overview,2022-07-27,115
K02000001,United Kingdom,overview,2022-07-26,121
K02000001,United Kingdom,overview,2022-07-25,114
K02000001,United Kingdom,overview,2022-07-24,133
K02000001,United Kingdom,overview,2022-07-23,128
K02000001,United Kingdom,overview,2022-07-22,117
K02000001,United Kingdom,overview,2022-07-21,127
K02000001,United Kingdom,overview,2022-07-20,191
K02000001,United Kingdom,overview,2022-07-19,225
K02000001,United Kingdom,overview,2022-07-18,127
K02000001,United Kingdom,overview,2022-07-17,159
K02000001,United Kingdom,overview,2022-07-16,122
K02000001,United Kingdom,overview,2022-07-15,105
K02000001,United Kingdom,overview,2022-07-14,127
K02000001,United Kingdom,overview,2022-07-13,136
K02000001,United Kingdom,overview,2022-07-12,154
K02000001,United Kingdom,overview,2022-07-11,128
K02000001,United Kingdom,overview,2022-07-10,117
K02000001,United Kingdom,overview,2022-07-09,110
K02000001,United Kingdom,overview,2022-07-08,109
K02000001,United Kingdom,overview,2022-07-07,102
K02000001,United Kingdom,overview,2022-07-06,116
K02000001,United Kingdom,overview,2022-07-05,102
K02000001,United Kingdom,overview,2022-07-04,91
K02000001,United Kingdom,overview,2022-07-03,69
K02000001,United Kingdom,overview,2022-07-02,91
K02000001,United Kingdom,overview,2022-07-01,79
K02000001,United Kingdom,overview,2022-06-30,76
K02000001,United Kingdom,overview,2022-06-29,84
K02000001,United Kingdom,overview,2022-06-28,72
K02000001,United Kingdom,overview,2022-06-27,64
K02000001,United Kingdom,overview,2022-06-26,69
K02000001,United Kingdom,overview,2022-06-25,73
K02000001,United Kingdom,overview,2022-06-24,48
K02000001,United Kingdom,overview,2022-06-23,62
K02000001,United Kingdom,overview,2022-06-22,73
K02000001,United Kingdom,overview,2022-06-21,58
K02000001,United Kingdom,overview,2022-06-20,48
K02000001,United Kingdom,overview,2022-06-19,47
K02000001,United Kingdom,overview,2022-06-18,44
K02000001,United Kingdom,overview,2022-06-17,45
K02000001,United Kingdom,overview,2022-06-16,57
K02000001,United Kingdom,overview,2022-06-15,45
K02000001,United Kingdom,overview,2022-06-14,36
K02000001,United Kingdom,overview,2022-06-13,41
K02000001,United Kingdom,overview,2022-06-12,43
K02000001,United Kingdom,overview,2022-06-11,33
K02000001,United Kingdom,overview,2022-06-10,45
K02000001,United Kingdom,overview,2022-06-09,27
K02000001,United Kingdom,overview,2022-06-08,43
K02000001,United Kingdom,overview,2022-06-07,33
K02000001,United Kingdom,overview,2022-06-06,43
K02000001,United Kingdom,overview,2022-06-05,30
K02000001,United Kingdom,overview,2022-06-04,39
K02000001,United Kingdom,overview,2022-06-03,28
K02000001,United Kingdom,overview,2022-06-02,48
K02000001,United Kingdom,overview,2022-06-01,26
K02000001,United Kingdom,overview,2022-05-31,51
K02000001,United Kingdom,overview,2022-05-30,51
K02000001,United Kingdom,overview,2022-05-29,30
K02000001,United Kingdom,overview,2022-05-28,34
K02000001,United Kingdom,overview,2022-05-27,45
K02000001,United Kingdom,overview,2022-05-26,45
K02000001,United Kingdom,overview,2022-05-25,34
K02000001,United Kingdom,overview,2022-05-24,51
K02000001,United Kingdom,overview,2022-05-23,63
K02000001,United Kingdom,overview,2022-05-22,59
K02000001,United Kingdom,overview,2022-05-21,49
K02000001,United Kingdom,overview,2022-05-20,72
K02000001,United Kingdom,overview,2022-05-19,46
K02000001,United Kingdom,overview,2022-05-18,46
K02000001,United Kingdom,overview,2022-05-17,72
K02000001,United Kingdom,overview,2022-05-16,66
K02000001,United Kingdom,overview,2022-05-15,73
K02000001,United Kingdom,overview,2022-05-14,66
K02000001,United Kingdom,overview,2022-05-13,72
K02000001,United Kingdom,overview,2022-05-12,70
K02000001,United Kingdom,overview,2022-05-11,80
K02000001,United Kingdom,overview,2022-05-10,101
K02000001,United Kingdom,overview,2022-05-09,83
K02000001,United Kingdom,overview,2022-05-08,85
K02000001,United Kingdom,overview,2022-05-07,103
K02000001,United Kingdom,overview,2022-05-06,98
K02000001,United Kingdom,overview,2022-05-05,87
K02000001,United Kingdom,overview,2022-05-04,90
K02000001,United Kingdom,overview,2022-05-03,107
K02000001,United Kingdom,overview,2022-05-02,110
K02000001,United Kingdom,overview,2022-05-01,114
K02000001,United Kingdom,overview,2022-04-30,107
K02000001,United Kingdom,overview,2022-04-29,108
K02000001,United Kingdom,overview,2022-04-28,130
K02000001,United Kingdom,overview,2022-04-27,135
K02000001,United Kingdom,overview,2022-04-26,126
K02000001,United Kingdom,overview,2022-04-25,129
K02000001,United Kingdom,overview,2022-04-24,131
K02000001,United Kingdom,overview,2022-04-23,146
K02000001,United Kingdom,overview,2022-04-22,156
K02000001,United Kingdom,overview,2022-04-21,163
K02000001,United Kingdom,overview,2022-04-20,162
K02000001,United Kingdom,overview,2022-04-19,159
K02000001,United Kingdom,overview,2022-04-18,174
K02000001,United Kingdom,overview,2022-04-17,163
K02000001,United Kingdom,overview,2022-04-16,165
K02000001,United Kingdom,overview,2022-04-15,172
K02000001,United Kingdom,overview,2022-04-14,192
K02000001,United Kingdom,overview,2022-04-13,222
K02000001,United Kingdom,overview,2022-04-12,200
K02000001,United Kingdom,overview,2022-04-11,185
K02000001,United Kingdom,overview,2022-04-10,197
K02000001,United Kingdom,overview,2022-04-09,173
K02000001,United Kingdom,overview,2022-04-08,238
K02000001,United Kingdom,overview,2022-04-07,231
K02000001,United Kingdom,overview,2022-04-06,196
K02000001,United Kingdom,overview,2022-04-05,202
K02000001,United Kingdom,overview,2022-04-04,179
K02000001,United Kingdom,overview,2022-04-03,189
K02000001,United Kingdom,overview,2022-04-02,192
K02000001,United Kingdom,overview,2022-04-01,205
K02000001,United Kingdom,overview,2022-03-31,192
K02000001,United Kingdom,overview,2022-03-30,182
K02000001,United Kingdom,overview,2022-03-29,196
K02000001,United Kingdom,overview,2022-03-28,178
K02000001,United Kingdom,overview,2022-03-27,160
K02000001,United Kingdom,overview,2022-03-26,164
K02000001,United Kingdom,overview,2022-03-25,182
K02000001,United Kingdom,overview,2022-03-24,166
K02000001,United Kingdom,overview,2022-03-23,158
K02000001,United Kingdom,overview,2022-03-22,167
K02000001,United Kingdom,overview,2022-03-21,163
K02000001,United Kingdom,overview,2022-03-20,175
K02000001,United Kingdom,overview,2022-03-19,166
K02000001,United Kingdom,overview,2022-03-18,171
K02000001,United Kingdom,overview,2022-03-17,137
K02000001,United Kingdom,overview,2022-03-16,146
K02000001,United Kingdom,overview,2022-03-15,122
K02000001,United Kingdom,overview,2022-03-14,141
K02000001,United Kingdom,overview,2022-03-13,112
K02000001,United Kingdom,overview,2022-03-12,123
K02000001,United Kingdom,overview,2022-03-11,121
K02000001,United Kingdom,overview,2022-03-10,115
K02000001,United Kingdom,overview,2022-03-09,107
K02000001,United Kingdom,overview,2022-03-08,119
K02000001,United Kingdom,overview,2022-03-07,124
K02000001,United Kingdom,overview,2022-03-06,95
K02000001,United Kingdom,overview,2022-03-05,101
K02000001,United Kingdom,overview,2022-03-04,112
K02000001,United Kingdom,overview,2022-03-03,107
K02000001,United Kingdom,overview,2022-03-02,146
K02000001,United Kingdom,overview,2022-03-01,106
K02000001,United Kingdom,overview,2022-02-28,105
K02000001,United Kingdom,overview,2022-02-27,119
K02000001,United Kingdom,overview,2022-02-26,103
K02000001,United Kingdom,overview,2022-02-25,121
K02000001,United Kingdom,overview,2022-02-24,127
K02000001,United Kingdom,overview,2022-02-23,119
K02000001,United Kingdom,overview,2022-02-22,120
K02000001,United Kingdom,overview,2022-02-21,110
K02000001,United Kingdom,overview,2022-02-20,127
K02000001,United Kingdom,overview,2022-02-19,122
K02000001,United Kingdom,overview,2022-02-18,128
K02000001,United Kingdom,overview,2022-02-17,125
K02000001,United Kingdom,overview,2022-02-16,133
K02000001,United Kingdom,overview,2022-02-15,133
K02000001,United Kingdom,overview,2022-02-14,158
K02000001,United Kingdom,overview,2022-02-13,127
K02000001,United Kingdom,overview,2022-02-12,144
K02000001,United Kingdom,overview,2022-02-11,142
K02000001,United Kingdom,overview,2022-02-10,124
K02000001,United Kingdom,overview,2022-02-09,144
K02000001,United Kingdom,overview,2022-02-08,159
K02000001,United Kingdom,overview,2022-02-07,140
K02000001,United Kingdom,overview,2022-02-06,158
K02000001,United Kingdom,overview,2022-02-05,173
K02000001,United Kingdom,overview,2022-02-04,160
K02000001,United Kingdom,overview,2022-02-03,191
K02000001,United Kingdom,overview,2022-02-02,188
K02000001,United Kingdom,overview,2022-02-01,207
K02000001,United Kingdom,overview,2022-01-31,208
K02000001,United Kingdom,overview,2022-01-30,191
K02000001,United Kingdom,overview,2022-01-29,181
K02000001,United Kingdom,overview,2022-01-28,202
K02000001,United Kingdom,overview,2022-01-27,220
K02000001,United Kingdom,overview,2022-01-26,196
K02000001,United Kingdom,overview,2022-01-25,194
K02000001,United Kingdom,overview,2022-01-24,229
K02000001,United Kingdom,overview,2022-01-23,218
K02000001,United Kingdom,overview,2022-01-22,224
K02000001,United Kingdom,overview,2022-01-21,248
K02000001,United Kingdom,overview,2022-01-20,202
K02000001,United Kingdom,overview,2022-01-19,221
K02000001,United Kingdom,overview,2022-01-18,234
K02000001,United Kingdom,overview,2022-01-17,232
K02000001,United Kingdom,overview,2022-01-16,257
K02000001,United Kingdom,overview,2022-01-15,260
K02000001,United Kingdom,overview,2022-01-14,236
K02000001,United Kingdom,overview,2022-01-13,243
K02000001,United Kingdom,overview,2022-01-12,239
K02000001,United Kingdom,overview,2022-01-11,234
K02000001,United Kingdom,overview,2022-01-10,244
K02000001,United Kingdom,overview,2022-01-09,242
K02000001,United Kingdom,overview,2022-01-08,216
K02000001,United Kingdom,overview,2022-01-07,229
K02000001,United Kingdom,overview,2022-01-06,223
K02000001,United Kingdom,overview,2022-01-05,182
K02000001,United Kingdom,overview,2022-01-04,204
K02000001,United Kingdom,overview,2022-01-03,179
K02000001,United Kingdom,overview,2022-01-02,170
K02000001,United Kingdom,overview,2022-01-01,176
K02000001,United Kingdom,overview,2021-12-31,155
K02000001,United Kingdom,overview,2021-12-30,177
K02000001,United Kingdom,overview,2021-12-29,132
K02000001,United Kingdom,overview,2021-12-28,162
K02000001,United Kingdom,overview,2021-12-27,133
K02000001,United Kingdom,overview,2021-12-26,116
K02000001,United Kingdom,overview,2021-12-25,112
K02000001,United Kingdom,overview,2021-12-24,117
K02000001,United Kingdom,overview,2021-12-23,136
K02000001,United Kingdom,overview,2021-12-22,136
K02000001,United Kingdom,overview,2021-12-21,112
K02000001,United Kingdom,overview,2021-12-20,136
K02000001,United Kingdom,overview,2021-12-19,117
K02000001,United Kingdom,overview,2021-12-18,107
K02000001,United Kingdom,overview,2021-12-17,131
K02000001,United Kingdom,overview,2021-12-16,118
K02000001,United Kingdom,overview,2021-12-15,120
K02000001,United Kingdom,overview,2021-12-14,152
K02000001,United Kingdom,overview,2021-12-13,113
K02000001,United Kingdom,overview,2021-12-12,137
K02000001,United Kingdom,overview,2021-12-11,109
K02000001,United Kingdom,overview,2021-12-10,122
K02000001,United Kingdom,overview,2021-12-09,132
K02000001,United Kingdom,overview,2021-12-08,133
K02000001,United Kingdom,overview,2021-12-07,132
K02000001,United Kingdom,overview,2021-12-06,143
K02000001,United Kingdom,overview,2021-12-05,117
K02000001,United Kingdom,overview,2021-12-04,163
K02000001,United Kingdom,overview,2021-12-03,147
K02000001,United Kingdom,overview,2021-12-02,123
K02000001,United Kingdom,overview,2021-12-01,138
K02000001,United Kingdom,overview,2021-11-30,122
K02000001,United Kingdom,overview,2021-11-29,144
K02000001,United Kingdom,overview,2021-11-28,144
K02000001,United Kingdom,overview,2021-11-27,124
K02000001,United Kingdom,overview,2021-11-26,132
K02000001,United Kingdom,overview,2021-11-25,141
K02000001,United Kingdom,overview,2021-11-24,124
K02000001,United Kingdom,overview,2021-11-23,150
K02000001,United Kingdom,overview,2021-11-22,131
K02000001,United Kingdom,overview,2021-11-21,121
K02000001,United Kingdom,overview,2021-11-20,143
K02000001,United Kingdom,overview,2021-11-19,142
K02000001,United Kingdom,overview,2021-11-18,131
K02000001,United Kingdom,overview,2021-11-17,127
K02000001,United Kingdom,overview,2021-11-16,166
K02000001,United Kingdom,overview,2021-11-15,171
K02000001,United Kingdom,overview,2021-11-14,134
K02000001,United Kingdom,overview,2021-11-13,152
K02000001,United Kingdom,overview,2021-11-12,146
K02000001,United Kingdom,overview,2021-11-11,158
K02000001,United Kingdom,overview,2021-11-10,170
K02000001,United Kingdom,overview,2021-11-09,157
K02000001,United Kingdom,overview,2021-11-08,161
K02000001,United Kingdom,overview,2021-11-07,161
K02000001,United Kingdom,overview,2021-11-06,171
K02000001,United Kingdom,overview,2021-11-05,166
K02000001,United Kingdom,overview,2021-11-04,169
K02000001,United Kingdom,overview,2021-11-03,184
K02000001,United Kingdom,overview,2021-11-02,165
K02000001,United Kingdom,overview,2021-11-01,192
K02000001,United Kingdom,overview,2021-10-31,196
K02000001,United Kingdom,overview,2021-10-30,165
K02000001,United Kingdom,overview,2021-10-29,185
K02000001,United Kingdom,overview,2021-10-28,199
K02000001,United Kingdom,overview,2021-10-27,177
K02000001,United Kingdom,overview,2021-10-26,179
K02000001,United Kingdom,overview,2021-10-25,149
K02000001,United Kingdom,overview,2021-10-24,167
K02000001,United Kingdom,overview,2021-10-23,172
K02000001,United Kingdom,overview,2021-10-22,151
K02000001,United Kingdom,overview,2021-10-21,165
K02000001,United Kingdom,overview,2021-10-20,154
K02000001,United Kingdom,overview,2021-10-19,143
K02000001,United Kingdom,overview,2021-10-18,139
K02000001,United Kingdom,overview,2021-10-17,141
K02000001,United Kingdom,overview,2021-10-16,152
K02000001,United Kingdom,overview,2021-10-15,140
K02000001,United Kingdom,overview,2021-10-14,161
K02000001,United Kingdom,overview,2021-10-13,137
K02000001,United Kingdom,overview,2021-10-12,136
K02000001,United Kingdom,overview,2021-10-11,138
K02000001,United Kingdom,overview,2021-10-10,115
K02000001,United Kingdom,overview,2021-10-09,121
K02000001,United Kingdom,overview,2021-10-08,122
K02000001,United Kingdom,overview,2021-10-07,133
K02000001,United Kingdom,overview,2021-10-06,114
K02000001,United Kingdom,overview,2021-10-05,135
K02000001,United Kingdom,overview,2021-10-04,113
K02000001,United Kingdom,overview,2021-10-03,107
K02000001,United Kingdom,overview,2021-10-02,118
K02000001,United Kingdom,overview,2021-10-01,139
K02000001,United Kingdom,overview,2021-09-30,129
K02000001,United Kingdom,overview,2021-09-29,142
K02000001,United Kingdom,overview,2021-09-28,121
K02000001,United Kingdom,overview,2021-09-27,127
K02000001,United Kingdom,overview,2021-09-26,111
K02000001,United Kingdom,overview,2021-09-25,128
K02000001,United Kingdom,overview,2021-09-24,141
K02000001,United Kingdom,overview,2021-09-23,149
K02000001,United Kingdom,overview,2021-09-22,159
K02000001,United Kingdom,overview,2021-09-21,139
K02000001,United Kingdom,overview,2021-09-20,159
K02000001,United Kingdom,overview,2021-09-19,137
K02000001,United Kingdom,overview,2021-09-18,137
K02000001,United Kingdom,overview,2021-09-17,184
K02000001,United Kingdom,overview,2021-09-16,162
K02000001,United Kingdom,overview,2021-09-15,169
K02000001,United Kingdom,overview,2021-09-14,170
K02000001,United Kingdom,overview,2021-09-13,119
K02000001,United Kingdom,overview,2021-09-12,141
K02000001,United Kingdom,overview,2021-09-11,145
K02000001,United Kingdom,overview,2021-09-10,150
K02000001,United Kingdom,overview,2021-09-09,180
K02000001,United Kingdom,overview,2021-09-08,143
K02000001,United Kingdom,overview,2021-09-07,166
K02000001,United Kingdom,overview,2021-09-06,157
K02000001,United Kingdom,overview,2021-09-05,164
K02000001,United Kingdom,overview,2021-09-04,146
K02000001,United Kingdom,overview,2021-09-03,152
K02000001,United Kingdom,overview,2021-09-02,137
K02000001,United Kingdom,overview,2021-09-01,125
K02000001,United Kingdom,overview,2021-08-31,128
K02000001,United Kingdom,overview,2021-08-30,109
K02000001,United Kingdom,overview,2021-08-29,139
K02000001,United Kingdom,overview,2021-08-28,134
K02000001,United Kingdom,overview,2021-08-27,139
K02000001,United Kingdom,overview,2021-08-26,125
K02000001,United Kingdom,overview,2021-08-25,108
K02000001,United Kingdom,overview,2021-08-24,118
K02000001,United Kingdom,overview,2021-08-23,120
K02000001,United Kingdom,overview,2021-08-22,129
K02000001,United Kingdom,overview,2021-08-21,118
K02000001,United Kingdom,overview,2021-08-20,127
K02000001,United Kingdom,overview,2021-08-19,115
K02000001,United Kingdom,overview,2021-08-18,111
K02000001,United Kingdom,overview,2021-08-17,102
K02000001,United Kingdom,overview,2021-08-16,89
K02000001,United Kingdom,overview,2021-08-15,91
K02000001,United Kingdom,overview,2021-08-14,104
K02000001,United Kingdom,overview,2021-08-13,98
K02000001,United Kingdom,overview,2021-08-12,106
K02000001,United Kingdom,overview,2021-08-11,89
K02000001,United Kingdom,overview,2021-08-10,85
K02000001,United Kingdom,overview,2021-08-09,84
K02000001,United Kingdom,overview,2021-08-08,84
K02000001,United Kingdom,overview,2021-08-07,106
K02000001,United Kingdom,overview,2021-08-06,98
K02000001,United Kingdom,overview,2021-08-05,101
K02000001,United Kingdom,overview,2021-08-04,92
K02000001,United Kingdom,overview,2021-08-03,80
K02000001,United Kingdom,overview,2021-08-02,92
K02000001,United Kingdom,overview,2021-08-01,97
K02000001,United Kingdom,overview,2021-07-31,92
K02000001,United Kingdom,overview,2021-07-30,105
K02000001,United Kingdom,overview,2021-07-29,88
K02000001,United Kingdom,overview,2021-07-28,84
K02000001,United Kingdom,overview,2021-07-27,77
K02000001,United Kingdom,overview,2021-07-26,79
K02000001,United Kingdom,overview,2021-07-25,73
K02000001,United Kingdom,overview,2021-07-24,69
K02000001,United Kingdom,overview,2021-07-23,83
K02000001,United Kingdom,overview,2021-07-22,86
K02000001,United Kingdom,overview,2021-07-21,61
K02000001,United Kingdom,overview,2021-07-20,68
K02000001,United Kingdom,overview,2021-07-19,88
K02000001,United Kingdom,overview,2021-07-18,73
K02000001,United Kingdom,overview,2021-07-17,60
K02000001,United Kingdom,overview,2021-07-16,55
K02000001,United Kingdom,overview,2021-07-15,54
K02000001,United Kingdom,overview,2021-07-14,47
K02000001,United Kingdom,overview,2021-07-13,50
K02000001,United Kingdom,overview,2021-07-12,43
K02000001,United Kingdom,overview,2021-07-11,36
K02000001,United Kingdom,overview,2021-07-10,45
K02000001,United Kingdom,overview,2021-07-09,53
K02000001,United Kingdom,overview,2021-07-08,42
K02000001,United Kingdom,overview,2021-07-07,36
K02000001,United Kingdom,overview,2021-07-06,35
K02000001,United Kingdom,overview,2021-07-05,29
K02000001,United Kingdom,overview,2021-07-04,30
K02000001,United Kingdom,overview,2021-07-03,31
K02000001,United Kingdom,overview,2021-07-02,32
K02000001,United Kingdom,overview,2021-07-01,28
K02000001,United Kingdom,overview,2021-06-30,26
K02000001,United Kingdom,overview,2021-06-29,24
K02000001,United Kingdom,overview,2021-06-28,18
K02000001,United Kingdom,overview,2021-06-27,24
K02000001,United Kingdom,overview,2021-06-26,17
K02000001,United Kingdom,overview,2021-06-25,22
K02000001,United Kingdom,overview,2021-06-24,29
K02000001,United Kingdom,overview,2021-06-23,9
K02000001,United Kingdom,overview,2021-06-22,18
K02000001,United Kingdom,overview,2021-06-21,13
K02000001,United Kingdom,overview,2021-06-20,22
K02000001,United Kingdom,overview,2021-06-19,20
K02000001,United Kingdom,overview,2021-06-18,18
K02000001,United Kingdom,overview,2021-06-17,9
K02000001,United Kingdom,overview,2021-06-16,16
K02000001,United Kingdom,overview,2021-06-15,21
K02000001,United Kingdom,overview,2021-06-14,13
K02000001,United Kingdom,overview,2021-06-13,12
K02000001,United Kingdom,overview,2021-06-12,12
K02000001,United Kingdom,overview,2021-06-11,13
K02000001,United Kingdom,overview,2021-06-10,16
K02000001,United Kingdom,overview,2021-06-09,17
K02000001,United Kingdom,overview,2021-06-08,15
K02000001,United Kingdom,overview,2021-06-07,6
K02000001,United Kingdom,overview,2021-06-06,13
K02000001,United Kingdom,overview,2021-06-05,7
K02000001,United Kingdom,overview,2021-06-04,14
K02000001,United Kingdom,overview,2021-06-03,16
K02000001,United Kingdom,overview,2021-06-02,12
K02000001,United Kingdom,overview,2021-06-01,10
K02000001,United Kingdom,overview,2021-05-31,11
K02000001,United Kingdom,overview,2021-05-30,9
K02000001,United Kingdom,overview,2021-05-29,12
K02000001,United Kingdom,overview,2021-05-28,14
K02000001,United Kingdom,overview,2021-05-27,8
K02000001,United Kingdom,overview,2021-05-26,14
K02000001,United Kingdom,overview,2021-05-25,11
K02000001,United Kingdom,overview,2021-05-24,16
K02000001,United Kingdom,overview,2021-05-23,16
K02000001,United Kingdom,overview,2021-05-22,4
K02000001,United Kingdom,overview,2021-05-21,18
K02000001,United Kingdom,overview,2021-05-20,7
K02000001,United Kingdom,overview,2021-05-19,4
K02000001,United Kingdom,overview,2021-05-18,11
K02000001,United Kingdom,overview,2021-05-17,13
K02000001,United Kingdom,overview,2021-05-16,14
K02000001,United Kingdom,overview,2021-05-15,15
K02000001,United Kingdom,overview,2021-05-14,14
K02000001,United Kingdom,overview,2021-05-13,15
K02000001,United Kingdom,overview,2021-05-12,15
K02000001,United Kingdom,overview,2021-05-11,21
K02000001,United Kingdom,overview,2021-05-10,8
K02000001,United Kingdom,overview,2021-05-09,11
K02000001,United Kingdom,overview,2021-05-08,20
K02000001,United Kingdom,overview,2021-05-07,18
